" Genevieve Williams",2016,MO07,20564,27.4," D",1481503
" Jason Smith",2016,MO08,1693053,0," R",1693053
" Ryan K Zinke",2016,MT01,5557720,0," R",8265010
" Denise Juneau",2016,MT01,2707290,40.5," D",8265010
" Jeff Fortenberry",2016,NE01,802161,69.5," R",802161
" Brad Ashford",2016,NE02,2502645,47.7," D",4106864
" Don Bacon",2016,NE02,1604219,48.9," R",4106864
" Adrian Smith",2016,NE03,1156745,100," R",1156745
" Dina Titus",2016,NV01,226668,61.9," D",226668
" Mark Amodei",2016,NV02,438591,58.3," R",441340
" Sharron Angle",2016,NV02,2749,0," R",441340
" Susie Lee",2016,NV03,315178,0," D",531531
" Victoria Seaman",2016,NV03,114008,0," R",531531
" Scott Hammond",2016,NV03,51700,0," R",531531
" David Owen McKeon",2016,NV03,39695,0," R",531531
" John Love",2016,NV03,10950,0," D",531531
" Ruben Kihuen",2016,NV04,770667,48.5," D",917271
" Stavros Anthony",2016,NV04,141145,0," R",917271
" Amy Vilela",2016,NV04,5459,0," D",917271
" Frank Guinta",2016,NH01,1514412,43," R",4529189
" Carol Shea-Porter",2016,NH01,1512316,44.3," D",4529189
" ""Shawn OConnor""",2016,NH01,1502461,0," I",4529189
" Ann Mclane Kuster",2016,NH02,3159505,0," D",3254948
" Jim Lawrence",2016,NH02,95443,45.3," R",3254948
" Don Norcross",2016,NJ01,2045596,0," D",2252883
" Robert W. Patterson",2016,NJ01,207287,0," R",2252883
" Frank A LoBiondo",2016,NJ02,1584413,0," R",1712293
" Dave Cole",2016,NJ02,127678,0," D",1712293
" James Keenan",2016,NJ02,202,0," I",1712293
" Thomas MacArthur",2016,NJ03,1913434,0," R",1914034
" Frederick Lavergne",2016,NJ03,600,0," D",1914034
" Chris Smith",2016,NJ04,725293,63.7," R",975827
" Lorna Phillipson",2016,NJ04,250534,33.5," D",975827
" Scott Garrett",2016,NJ05,2411570,46.7," R",7194032
" Josh Gottheimer",2016,NJ05,4782462,51.1," D",7194032
" Frank Pallone Jr.",2016,NJ06,2409149,0," D",2484923
" Brent J Sonnek-Schmelz",2016,NJ06,75774,0," R",2484923
" Leonard Lance",2016,NJ07,1118097,54.1," R",1438862
" Peter Jacob",2016,NJ07,320765,43.1," D",1438862
" Albio Sires",2016,NJ08,633397,77," D",633397
" Bill Pascrell Jr.",2016,NJ09,1674633,0," D",1774412
" Hector Castillo",2016,NJ09,99779,28," R",1774412
" Donald M Payne Jr.",2016,NJ10,533521,0," D",533521
" Rodney Frelinghuysen",2016,NJ11,1991920,58," R",1991920
" Bonnie Coleman",2016,NJ12,1095676,0," D",1095676
" Michelle Lujan Grisham",2016,NM01,1776951,0," D",1776951
" Steve Pearce",2016,NM02,1840393,62.7," R",2279516
" Merrie Lee Ms. Soules",2016,NM02,439123,0," D",2279516
" Ben R Lujan",2016,NM03,2107713,0," D",2204279
" Mike Romero",2016,NM03,96566,0," R",2204279
" Lee Zeldin",2016,NY01,4405395,58.9," R",8277854
" Anna Throne-Holst",2016,NY01,3872459,41," D",8277854
" Pete King",2016,NY02,1063928,0," R",1440157
" DuWayne Gregory",2016,NY02,376229,37.5," D",1440157
" Tom Suozzi",2016,NY03,2395911,52.8," D",3563781
" Jack Martins",2016,NY03,1167870,47.2," R",3563781
" Kathleen Rice",2016,NY04,2080991,59.5," D",2520936
